album_uri,album_name,release_date
3PRoXYsngSwjEQWR5PsHWR,Revolver (Remastered),1966-08-05
0PMasrHdpaoIRuHuhHp72O,Born In The U.S.A.,1984-06-04
1uyf3l2d4XYwiEqAb7t7fX,Doo-Wops and Hooligans,2010-10-05
3kndSWeE2IYOrZEToZrHEV,Nine Track Mind,2016-01-29
5cT7ee1sy2oEbFalP4asS4,Tommy,1969-05-23
7nCWzcMZanUBPZgZaKpzM6,Too Rye Ay,1982-07-22
1Vw2uoVkLAJFVViJ1QyK1D,Storm Front,1989-10-17
3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,2015-12-04
6ZrfrNHcBmiL31GSLUgBMa,Young Mister,2016-06-24
0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),1969-09-26
0RHX9XECH8IVI3LNgWDpmQ,A Rush of Blood to the Head,2002-08-08
3usnShwygMXVZB4IV5dwnU,Out of the Blue,1905-05-30
1CEODgTmTwLyabvwd7HBty,Viva La Vida or Death and All His Friends,2008-05-26
77Ufm02YB5qgT72qrBFt8P,Pendulum (40th Anniversary Edition),1970-12-07
1bt6q2SruMsBtcerNVtpZB,Rumours,1977-02-04
4YimfceN1R0nOS9CefIFhm,Once Upon A Time (Super Deluxe),1905-06-07
31q47gQszFt0CddSyMksgO,Willy And The Poor Boys (Expanded Edition),1969-11-02
1HmCO8VK98AU6EXPOjGYyI,52nd Street,1978-10-13
7gdwk8zdee8ghIq94Z9ck3,At Worst...The Best Of Boy George And Culture Club,1993-01-01
1ntNLgaYCFCkeW4flGYlY2,Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),1967-05-26
2guirTSEqLizK7j9i1MTTZ,Nevermind (Remastered),1991-09-26
50zHjIiTOZM232gnWvOydX,More of The Monkees (Deluxe Edition),1967-01-09
2widuo17g5CEC66IbzveRu,Hotel California (2013 Remaster),1976-12-08
01NhUvviMytvV12pmJiDZH,Bad Habits,2021-06-25
5d71Imt5CIb7LpQwDMQ093,Full Moon Fever,1989-01-01
3T4tUhGYeRNVUGevb0wThu,Division (Deluxe),2017-03-03
0i9mOB6mPGqwVvtJEXiwPG,Green River (Expanded Edition),1969-08-03
1H9g6j4Wwj6wh6p8YHVtkf,Outlandos D'Amour (Remastered 2003),1978-11-02
0dimpeFX6avE5XJYWvoHGw,Homesick,2013-01-05
1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition),2014-06-21
7dsWupQRlFuhG8FGiQAUjC,Blowin' Your Mind!,1967-09-01
0jTGHV5xqHPvEcwL8f6YU5,Let It Be (Remastered),1970-05-08
5AHWNPo3gllDmixgAoFru4,Heard It In A Past Life,2019-01-18
1ZH5g1RDq3GY1OvyD0w0s2,Combat Rock (Remastered),1905-06-04
1kCHru7uhxBUdzkm4gzRQc,Hamilton (Original Broadway Cast Recording),2015-09-25
62U7xIHcID94o20Of5ea4D,Toto IV,1982-04-08
0C3t1htEDTFKcg7F2rNbek,Elvis' Golden Records,1958-03-21
5sK78apv4yOoXjxRL4kOdJ,Sunshine on Leith,1905-06-10
5fLOHW1UXr1cJrnXiU3FBt,The Album,1905-05-30
43wpzak9OmQfrjyksuGwp0,Escape (Bonus Track Version),1905-06-03
022DrG7Wp2PSCwzuD0bSzT,American Beauty/American Psycho,2015-01-20
5gSBDA6ufk8UZejT4XR7av,Waterloo,1905-05-27
0zAsh6hObeNmFgFPrUiFcP,Reflection (Deluxe),2015-01-30
5VIQ3VaAoRKOEpJ0fewdvo,Fleetwood Mac,1975-07-11
7iycyHwOW2plljYIK6I1Zo,Some Nights,2012-02-21
7p2aWivr9OLXocSTTKtG9B,St. Elsewhere,2006-05-02
